device,timestamp,temperature
of:0000000000000001,2024-10-02 16:50:42,18
of:0000000000000002,2024-10-02 16:50:42,18
of:0000000000000003,2024-10-02 16:50:42,18
of:0000000000000004,2024-10-02 16:50:42,18
of:0000000000000005,2024-10-02 16:50:42,18
of:0000000000000006,2024-10-02 16:50:42,18
of:0000000000000007,2024-10-02 16:50:42,18
of:0000000000000008,2024-10-02 16:50:42,18
of:0000000000000009,2024-10-02 16:50:42,18
of:000000000000000a,2024-10-02 16:50:42,18
of:000000000000000b,2024-10-02 16:50:42,18
of:000000000000000c,2024-10-02 16:50:42,18
of:000000000000000d,2024-10-02 16:50:42,18
of:000000000000000e,2024-10-02 16:50:42,18
of:000000000000000f,2024-10-02 16:50:42,18
of:0000000000000010,2024-10-02 16:50:42,18
of:0000000000000011,2024-10-02 16:50:42,18
of:0000000000000012,2024-10-02 16:50:42,18
of:0000000000000013,2024-10-02 16:50:42,18
of:0000000000000014,2024-10-02 16:50:42,18
of:0000000000000015,2024-10-02 16:50:42,18
of:0000000000000016,2024-10-02 16:50:42,18
of:0000000000000017,2024-10-02 16:50:42,18
of:0000000000000018,2024-10-02 16:50:42,18
of:0000000000000019,2024-10-02 16:50:42,18
of:000000000000001a,2024-10-02 16:50:42,18
of:000000000000001b,2024-10-02 16:50:42,18
of:000000000000001c,2024-10-02 16:50:42,18
of:000000000000001d,2024-10-02 16:50:42,18
of:000000000000001e,2024-10-02 16:50:42,18
of:000000000000001f,2024-10-02 16:50:42,18
of:0000000000000020,2024-10-02 16:50:42,18
of:0000000000000021,2024-10-02 16:50:42,18
of:0000000000000022,2024-10-02 16:50:42,18
of:0000000000000023,2024-10-02 16:50:42,18
of:0000000000000024,2024-10-02 16:50:42,18
of:0000000000000025,2024-10-02 16:50:42,18
of:0000000000000026,2024-10-02 16:50:42,18
of:0000000000000027,2024-10-02 16:50:42,18
of:0000000000000028,2024-10-02 16:50:42,18
of:0000000000000001,2024-10-02 16:50:52,19.286883157894735
of:0000000000000002,2024-10-02 16:50:52,19.95333052631579
of:0000000000000003,2024-10-02 16:50:52,19.91072842105263
of:0000000000000004,2024-10-02 16:50:52,19.18513789473684
of:0000000000000005,2024-10-02 16:50:52,18.306635789473685
of:0000000000000006,2024-10-02 16:50:52,18.243703157894736
of:0000000000000007,2024-10-02 16:50:52,18.23808842105263
of:0000000000000008,2024-10-02 16:50:52,18.17672
of:0000000000000009,2024-10-02 16:50:52,18
of:000000000000000a,2024-10-02 16:50:52,18
of:000000000000000b,2024-10-02 16:50:52,18
of:000000000000000c,2024-10-02 16:50:52,18
of:000000000000000d,2024-10-02 16:50:52,18
of:000000000000000e,2024-10-02 16:50:52,18
of:000000000000000f,2024-10-02 16:50:52,18
of:0000000000000010,2024-10-02 16:50:52,18
of:0000000000000011,2024-10-02 16:50:52,18
of:0000000000000012,2024-10-02 16:50:52,18
of:0000000000000013,2024-10-02 16:50:52,18
of:0000000000000014,2024-10-02 16:50:52,18
of:0000000000000015,2024-10-02 16:50:52,18
of:0000000000000016,2024-10-02 16:50:52,18
of:0000000000000017,2024-10-02 16:50:52,18
of:0000000000000018,2024-10-02 16:50:52,18
of:0000000000000019,2024-10-02 16:50:52,18
of:000000000000001a,2024-10-02 16:50:52,18
of:000000000000001b,2024-10-02 16:50:52,18
of:000000000000001c,2024-10-02 16:50:52,18
of:000000000000001d,2024-10-02 16:50:52,18
of:000000000000001e,2024-10-02 16:50:52,18
of:000000000000001f,2024-10-02 16:50:52,18
of:0000000000000020,2024-10-02 16:50:52,18
of:0000000000000021,2024-10-02 16:50:52,18
of:0000000000000022,2024-10-02 16:50:52,18
of:0000000000000023,2024-10-02 16:50:52,18
of:0000000000000024,2024-10-02 16:50:52,18
of:0000000000000025,2024-10-02 16:50:52,18
of:0000000000000026,2024-10-02 16:50:52,18
of:0000000000000027,2024-10-02 16:50:52,18
of:0000000000000028,2024-10-02 16:50:52,18
of:0000000000000001,2024-10-02 16:51:12,20.57376631578947
of:0000000000000002,2024-10-02 16:51:12,21.906661052631577
of:0000000000000003,2024-10-02 16:51:12,21.821456842105263
of:0000000000000004,2024-10-02 16:51:12,20.37027578947368
of:0000000000000005,2024-10-02 16:51:12,18.61327157894737
of:0000000000000006,2024-10-02 16:51:12,18.48740631578947
of:0000000000000007,2024-10-02 16:51:12,18.47617684210526
of:0000000000000008,2024-10-02 16:51:12,18.35344
of:0000000000000009,2024-10-02 16:51:12,18
of:000000000000000a,2024-10-02 16:51:12,18
of:000000000000000b,2024-10-02 16:51:12,18
of:000000000000000c,2024-10-02 16:51:12,18
of:000000000000000d,2024-10-02 16:51:12,18
of:000000000000000e,2024-10-02 16:51:12,18
of:000000000000000f,2024-10-02 16:51:12,18
of:0000000000000010,2024-10-02 16:51:12,18
of:0000000000000011,2024-10-02 16:51:12,18
of:0000000000000012,2024-10-02 16:51:12,18
of:0000000000000013,2024-10-02 16:51:12,18
of:0000000000000014,2024-10-02 16:51:12,18
of:0000000000000015,2024-10-02 16:51:12,18
of:0000000000000016,2024-10-02 16:51:12,18
of:0000000000000017,2024-10-02 16:51:12,18
of:0000000000000018,2024-10-02 16:51:12,18
of:0000000000000019,2024-10-02 16:51:12,18
of:000000000000001a,2024-10-02 16:51:12,18
of:000000000000001b,2024-10-02 16:51:12,18
of:000000000000001c,2024-10-02 16:51:12,18
of:000000000000001d,2024-10-02 16:51:12,18
of:000000000000001e,2024-10-02 16:51:12,18
of:000000000000001f,2024-10-02 16:51:12,18
of:0000000000000020,2024-10-02 16:51:12,18
of:0000000000000021,2024-10-02 16:51:12,18
of:0000000000000022,2024-10-02 16:51:12,18
of:0000000000000023,2024-10-02 16:51:12,18
of:0000000000000024,2024-10-02 16:51:12,18
of:0000000000000025,2024-10-02 16:51:12,18
of:0000000000000026,2024-10-02 16:51:12,18
of:0000000000000027,2024-10-02 16:51:12,18
of:0000000000000028,2024-10-02 16:51:12,18
of:0000000000000001,2024-10-02 16:51:23,21.860649473684205
of:0000000000000002,2024-10-02 16:51:23,23.859991578947366
of:0000000000000003,2024-10-02 16:51:23,23.732185263157895
of:0000000000000004,2024-10-02 16:51:23,21.55541368421052
of:0000000000000005,2024-10-02 16:51:23,18.919907368421054
of:0000000000000006,2024-10-02 16:51:23,18.731109473684207
of:0000000000000007,2024-10-02 16:51:23,18.71426526315789
of:0000000000000008,2024-10-02 16:51:23,18.53016
of:0000000000000009,2024-10-02 16:51:23,18
of:000000000000000a,2024-10-02 16:51:23,18
of:000000000000000b,2024-10-02 16:51:23,18
of:000000000000000c,2024-10-02 16:51:23,18
of:000000000000000d,2024-10-02 16:51:23,18
of:000000000000000e,2024-10-02 16:51:23,18
of:000000000000000f,2024-10-02 16:51:23,18
of:0000000000000010,2024-10-02 16:51:23,18
of:0000000000000011,2024-10-02 16:51:23,18
of:0000000000000012,2024-10-02 16:51:23,18
of:0000000000000013,2024-10-02 16:51:23,18
of:0000000000000014,2024-10-02 16:51:23,18
of:0000000000000015,2024-10-02 16:51:23,18
of:0000000000000016,2024-10-02 16:51:23,18
of:0000000000000017,2024-10-02 16:51:23,18
of:0000000000000018,2024-10-02 16:51:23,18
of:0000000000000019,2024-10-02 16:51:23,18
of:000000000000001a,2024-10-02 16:51:23,18
of:000000000000001b,2024-10-02 16:51:23,18
of:000000000000001c,2024-10-02 16:51:23,18
of:000000000000001d,2024-10-02 16:51:23,18
of:000000000000001e,2024-10-02 16:51:23,18
of:000000000000001f,2024-10-02 16:51:23,18
of:0000000000000020,2024-10-02 16:51:23,18
of:0000000000000021,2024-10-02 16:51:23,18
of:0000000000000022,2024-10-02 16:51:23,18
of:0000000000000023,2024-10-02 16:51:23,18
of:0000000000000024,2024-10-02 16:51:23,18
of:0000000000000025,2024-10-02 16:51:23,18
of:0000000000000026,2024-10-02 16:51:23,18
of:0000000000000027,2024-10-02 16:51:23,18
of:0000000000000028,2024-10-02 16:51:23,18
of:0000000000000001,2024-10-02 16:51:33,23.14753263157894
of:0000000000000002,2024-10-02 16:51:33,25.813322105263154
of:0000000000000003,2024-10-02 16:51:33,25.642913684210527
of:0000000000000004,2024-10-02 16:51:33,22.74055157894736
of:0000000000000005,2024-10-02 16:51:33,19.22654315789474
of:0000000000000006,2024-10-02 16:51:33,18.974812631578942
of:0000000000000007,2024-10-02 16:51:33,18.95235368421052
