device,timestamp,temperature
of:0000000000000001,2024-10-02 16:56:29,18
of:0000000000000002,2024-10-02 16:56:29,18
of:0000000000000003,2024-10-02 16:56:29,18
of:0000000000000004,2024-10-02 16:56:29,18
of:0000000000000005,2024-10-02 16:56:29,18
of:0000000000000006,2024-10-02 16:56:29,18
of:0000000000000007,2024-10-02 16:56:29,18
of:0000000000000008,2024-10-02 16:56:29,18
of:0000000000000009,2024-10-02 16:56:29,18
of:000000000000000a,2024-10-02 16:56:29,18
of:000000000000000b,2024-10-02 16:56:29,18
of:000000000000000c,2024-10-02 16:56:29,18
of:000000000000000d,2024-10-02 16:56:29,18
of:000000000000000e,2024-10-02 16:56:29,18
of:000000000000000f,2024-10-02 16:56:29,18
of:0000000000000010,2024-10-02 16:56:29,18
of:0000000000000011,2024-10-02 16:56:29,18
of:0000000000000012,2024-10-02 16:56:29,18
of:0000000000000013,2024-10-02 16:56:29,18
of:0000000000000014,2024-10-02 16:56:29,18
of:0000000000000015,2024-10-02 16:56:29,18
of:0000000000000016,2024-10-02 16:56:29,18
of:0000000000000017,2024-10-02 16:56:29,18
of:0000000000000018,2024-10-02 16:56:29,18
of:0000000000000019,2024-10-02 16:56:29,18
of:000000000000001a,2024-10-02 16:56:29,18
of:000000000000001b,2024-10-02 16:56:29,18
of:000000000000001c,2024-10-02 16:56:29,18
of:000000000000001d,2024-10-02 16:56:29,18
of:000000000000001e,2024-10-02 16:56:29,18
of:000000000000001f,2024-10-02 16:56:29,18
of:0000000000000020,2024-10-02 16:56:29,18
of:0000000000000021,2024-10-02 16:56:29,18
of:0000000000000022,2024-10-02 16:56:29,18
of:0000000000000023,2024-10-02 16:56:29,18
of:0000000000000024,2024-10-02 16:56:29,18
of:0000000000000025,2024-10-02 16:56:29,18
of:0000000000000026,2024-10-02 16:56:29,18
of:0000000000000027,2024-10-02 16:56:29,18
of:0000000000000028,2024-10-02 16:56:29,18
of:0000000000000001,2024-10-02 16:56:39,19.286883157894735
of:0000000000000002,2024-10-02 16:56:39,19.95333052631579
of:0000000000000003,2024-10-02 16:56:39,19.91072842105263
of:0000000000000004,2024-10-02 16:56:39,19.18513789473684
of:0000000000000005,2024-10-02 16:56:39,18.306635789473685
of:0000000000000006,2024-10-02 16:56:39,18.243703157894736
of:0000000000000007,2024-10-02 16:56:39,18.23808842105263
of:0000000000000008,2024-10-02 16:56:39,18.17672
of:0000000000000009,2024-10-02 16:56:39,18
of:000000000000000a,2024-10-02 16:56:39,18
of:000000000000000b,2024-10-02 16:56:39,18
of:000000000000000c,2024-10-02 16:56:39,18
of:000000000000000d,2024-10-02 16:56:39,18
of:000000000000000e,2024-10-02 16:56:39,18
of:000000000000000f,2024-10-02 16:56:39,18
of:0000000000000010,2024-10-02 16:56:39,18
of:0000000000000011,2024-10-02 16:56:39,18
of:0000000000000012,2024-10-02 16:56:39,18
of:0000000000000013,2024-10-02 16:56:39,18
of:0000000000000014,2024-10-02 16:56:39,18
of:0000000000000015,2024-10-02 16:56:39,18
of:0000000000000016,2024-10-02 16:56:39,18
of:0000000000000017,2024-10-02 16:56:39,18
of:0000000000000018,2024-10-02 16:56:39,18
of:0000000000000019,2024-10-02 16:56:39,18
of:000000000000001a,2024-10-02 16:56:39,18
of:000000000000001b,2024-10-02 16:56:39,18
of:000000000000001c,2024-10-02 16:56:39,18
of:000000000000001d,2024-10-02 16:56:39,18
of:000000000000001e,2024-10-02 16:56:39,18
of:000000000000001f,2024-10-02 16:56:39,18
of:0000000000000020,2024-10-02 16:56:39,18
of:0000000000000021,2024-10-02 16:56:39,18
of:0000000000000022,2024-10-02 16:56:39,18
of:0000000000000023,2024-10-02 16:56:39,18
of:0000000000000024,2024-10-02 16:56:39,18
of:0000000000000025,2024-10-02 16:56:39,18
of:0000000000000026,2024-10-02 16:56:39,18
of:0000000000000027,2024-10-02 16:56:39,18
of:0000000000000028,2024-10-02 16:56:39,18
of:0000000000000001,2024-10-02 16:56:50,20.57376631578947
of:0000000000000002,2024-10-02 16:56:50,21.906661052631577
of:0000000000000003,2024-10-02 16:56:50,21.821456842105263
of:0000000000000004,2024-10-02 16:56:50,20.37027578947368
of:0000000000000005,2024-10-02 16:56:50,18.61327157894737
of:0000000000000006,2024-10-02 16:56:50,18.48740631578947
of:0000000000000007,2024-10-02 16:56:50,18.47617684210526
of:0000000000000008,2024-10-02 16:56:50,18.35344
of:0000000000000009,2024-10-02 16:56:50,18
of:000000000000000a,2024-10-02 16:56:50,18
of:000000000000000b,2024-10-02 16:56:50,18
of:000000000000000c,2024-10-02 16:56:50,18
of:000000000000000d,2024-10-02 16:56:50,18
of:000000000000000e,2024-10-02 16:56:50,18
of:000000000000000f,2024-10-02 16:56:50,18
of:0000000000000010,2024-10-02 16:56:50,18
of:0000000000000011,2024-10-02 16:56:50,18
of:0000000000000012,2024-10-02 16:56:50,18
of:0000000000000013,2024-10-02 16:56:50,18
of:0000000000000014,2024-10-02 16:56:50,18
of:0000000000000015,2024-10-02 16:56:50,18
of:0000000000000016,2024-10-02 16:56:50,18
of:0000000000000017,2024-10-02 16:56:50,18
of:0000000000000018,2024-10-02 16:56:50,18
of:0000000000000019,2024-10-02 16:56:50,18
of:000000000000001a,2024-10-02 16:56:50,18
of:000000000000001b,2024-10-02 16:56:50,18
of:000000000000001c,2024-10-02 16:56:50,18
of:000000000000001d,2024-10-02 16:56:50,18
of:000000000000001e,2024-10-02 16:56:50,18
of:000000000000001f,2024-10-02 16:56:50,18
of:0000000000000020,2024-10-02 16:56:50,18
of:0000000000000021,2024-10-02 16:56:50,18
of:0000000000000022,2024-10-02 16:56:50,18
of:0000000000000023,2024-10-02 16:56:50,18
of:0000000000000024,2024-10-02 16:56:50,18
of:0000000000000025,2024-10-02 16:56:50,18
of:0000000000000026,2024-10-02 16:56:50,18
of:0000000000000027,2024-10-02 16:56:50,18
of:0000000000000028,2024-10-02 16:56:50,18
of:0000000000000001,2024-10-02 16:57:10,21.860649473684205
of:0000000000000002,2024-10-02 16:57:10,23.859991578947366
of:0000000000000003,2024-10-02 16:57:10,23.732185263157895
of:0000000000000004,2024-10-02 16:57:10,21.55541368421052
of:0000000000000005,2024-10-02 16:57:10,18.919907368421054
of:0000000000000006,2024-10-02 16:57:10,18.731109473684207
of:0000000000000007,2024-10-02 16:57:10,18.71426526315789
of:0000000000000008,2024-10-02 16:57:10,18.53016
of:0000000000000009,2024-10-02 16:57:10,18
of:000000000000000a,2024-10-02 16:57:10,18
of:000000000000000b,2024-10-02 16:57:10,18
of:000000000000000c,2024-10-02 16:57:10,18
of:000000000000000d,2024-10-02 16:57:10,18
of:000000000000000e,2024-10-02 16:57:10,18
of:000000000000000f,2024-10-02 16:57:10,18
of:0000000000000010,2024-10-02 16:57:10,18
of:0000000000000011,2024-10-02 16:57:10,18
of:0000000000000012,2024-10-02 16:57:10,18
of:0000000000000013,2024-10-02 16:57:10,18
of:0000000000000014,2024-10-02 16:57:10,18
of:0000000000000015,2024-10-02 16:57:10,18
of:0000000000000016,2024-10-02 16:57:10,18
of:0000000000000017,2024-10-02 16:57:10,18
of:0000000000000018,2024-10-02 16:57:10,18
of:0000000000000019,2024-10-02 16:57:10,18
of:000000000000001a,2024-10-02 16:57:10,18
of:000000000000001b,2024-10-02 16:57:10,18
of:000000000000001c,2024-10-02 16:57:10,18
of:000000000000001d,2024-10-02 16:57:10,18
of:000000000000001e,2024-10-02 16:57:10,18
of:000000000000001f,2024-10-02 16:57:10,18
of:0000000000000020,2024-10-02 16:57:10,18
of:0000000000000021,2024-10-02 16:57:10,18
of:0000000000000022,2024-10-02 16:57:10,18
of:0000000000000023,2024-10-02 16:57:10,18
of:0000000000000024,2024-10-02 16:57:10,18
of:0000000000000025,2024-10-02 16:57:10,18
of:0000000000000026,2024-10-02 16:57:10,18
of:0000000000000027,2024-10-02 16:57:10,18
of:0000000000000028,2024-10-02 16:57:10,18
of:0000000000000001,2024-10-02 16:57:20,23.14753263157894
of:0000000000000002,2024-10-02 16:57:20,25.813322105263154
of:0000000000000003,2024-10-02 16:57:20,25.642913684210527
of:0000000000000004,2024-10-02 16:57:20,22.74055157894736
of:0000000000000005,2024-10-02 16:57:20,19.22654315789474
of:0000000000000006,2024-10-02 16:57:20,18.974812631578942
of:0000000000000007,2024-10-02 16:57:20,18.95235368421052
of:0000000000000008,2024-10-02 16:57:20,18.706879999999998
of:0000000000000009,2024-10-02 16:57:20,18
of:000000000000000a,2024-10-02 16:57:20,18
of:000000000000000b,2024-10-02 16:57:20,18
of:000000000000000c,2024-10-02 16:57:20,18
of:000000000000000d,2024-10-02 16:57:20,18
of:000000000000000e,2024-10-02 16:57:20,18
of:000000000000000f,2024-10-02 16:57:20,18
of:0000000000000010,2024-10-02 16:57:20,18
of:0000000000000011,2024-10-02 16:57:20,18
of:0000000000000012,2024-10-02 16:57:20,18
of:0000000000000013,2024-10-02 16:57:20,18
of:0000000000000014,2024-10-02 16:57:20,18
of:0000000000000015,2024-10-02 16:57:20,18
of:0000000000000016,2024-10-02 16:57:20,18
of:0000000000000017,2024-10-02 16:57:20,18
of:0000000000000018,2024-10-02 16:57:20,18
of:0000000000000019,2024-10-02 16:57:20,18
of:000000000000001a,2024-10-02 16:57:20,18
of:000000000000001b,2024-10-02 16:57:20,18
of:000000000000001c,2024-10-02 16:57:20,18
of:000000000000001d,2024-10-02 16:57:20,18
of:000000000000001e,2024-10-02 16:57:20,18
of:000000000000001f,2024-10-02 16:57:20,18
of:0000000000000020,2024-10-02 16:57:20,18
of:0000000000000021,2024-10-02 16:57:20,18
of:0000000000000022,2024-10-02 16:57:20,18
of:0000000000000023,2024-10-02 16:57:20,18
of:0000000000000024,2024-10-02 16:57:20,18
of:0000000000000025,2024-10-02 16:57:20,18
of:0000000000000026,2024-10-02 16:57:20,18
of:0000000000000027,2024-10-02 16:57:20,18
of:0000000000000028,2024-10-02 16:57:20,18
of:0000000000000001,2024-10-02 16:57:31,24.434415789473675
of:0000000000000002,2024-10-02 16:57:31,25.766652631578943
of:0000000000000003,2024-10-02 16:57:31,25.553642105263158
of:0000000000000004,2024-10-02 16:57:31,23.9256894736842
of:0000000000000005,2024-10-02 16:57:31,19.533178947368423
of:0000000000000006,2024-10-02 16:57:31,19.218515789473678
of:0000000000000007,2024-10-02 16:57:31,19.190442105263152
of:0000000000000008,2024-10-02 16:57:31,18.883599999999998
of:0000000000000009,2024-10-02 16:57:31,18
of:000000000000000a,2024-10-02 16:57:31,18
of:000000000000000b,2024-10-02 16:57:31,18
of:000000000000000c,2024-10-02 16:57:31,18
of:000000000000000d,2024-10-02 16:57:31,18
of:000000000000000e,2024-10-02 16:57:31,18
of:000000000000000f,2024-10-02 16:57:31,18
of:0000000000000010,2024-10-02 16:57:31,18
of:0000000000000011,2024-10-02 16:57:31,18
of:0000000000000012,2024-10-02 16:57:31,18
of:0000000000000013,2024-10-02 16:57:31,18
of:0000000000000014,2024-10-02 16:57:31,18
of:0000000000000015,2024-10-02 16:57:31,18
of:0000000000000016,2024-10-02 16:57:31,18
of:0000000000000017,2024-10-02 16:57:31,18
of:0000000000000018,2024-10-02 16:57:31,18
of:0000000000000019,2024-10-02 16:57:31,18
of:000000000000001a,2024-10-02 16:57:31,18
of:000000000000001b,2024-10-02 16:57:31,18
of:000000000000001c,2024-10-02 16:57:31,18
of:000000000000001d,2024-10-02 16:57:31,18
of:000000000000001e,2024-10-02 16:57:31,18
of:000000000000001f,2024-10-02 16:57:31,18
of:0000000000000020,2024-10-02 16:57:31,18
of:0000000000000021,2024-10-02 16:57:31,18
of:0000000000000022,2024-10-02 16:57:31,18
of:0000000000000023,2024-10-02 16:57:31,18
of:0000000000000024,2024-10-02 16:57:31,18
of:0000000000000025,2024-10-02 16:57:31,18
of:0000000000000026,2024-10-02 16:57:31,18
of:0000000000000027,2024-10-02 16:57:31,18
of:0000000000000028,2024-10-02 16:57:31,18
of:0000000000000001,2024-10-02 16:57:51,25.72129894736841
of:0000000000000002,2024-10-02 16:57:51,25.71998315789473
of:0000000000000003,2024-10-02 16:57:51,25.46437052631579
of:0000000000000004,2024-10-02 16:57:51,25.11082736842104
of:0000000000000005,2024-10-02 16:57:51,19.839814736842108
of:0000000000000006,2024-10-02 16:57:51,19.462218947368413
of:0000000000000007,2024-10-02 16:57:51,19.428530526315782
of:0000000000000008,2024-10-02 16:57:51,19.060319999999997
of:0000000000000009,2024-10-02 16:57:51,18
of:000000000000000a,2024-10-02 16:57:51,18
of:000000000000000b,2024-10-02 16:57:51,18
of:000000000000000c,2024-10-02 16:57:51,18
of:000000000000000d,2024-10-02 16:57:51,18
of:000000000000000e,2024-10-02 16:57:51,18
of:000000000000000f,2024-10-02 16:57:51,18
of:0000000000000010,2024-10-02 16:57:51,18
of:0000000000000011,2024-10-02 16:57:51,18
of:0000000000000012,2024-10-02 16:57:51,18
of:0000000000000013,2024-10-02 16:57:51,18
of:0000000000000014,2024-10-02 16:57:51,18
of:0000000000000015,2024-10-02 16:57:51,18
of:0000000000000016,2024-10-02 16:57:51,18
of:0000000000000017,2024-10-02 16:57:51,18
of:0000000000000018,2024-10-02 16:57:51,18
of:0000000000000019,2024-10-02 16:57:51,18
of:000000000000001a,2024-10-02 16:57:51,18
of:000000000000001b,2024-10-02 16:57:51,18
of:000000000000001c,2024-10-02 16:57:51,18
of:000000000000001d,2024-10-02 16:57:51,18
of:000000000000001e,2024-10-02 16:57:51,18
of:000000000000001f,2024-10-02 16:57:51,18
of:0000000000000020,2024-10-02 16:57:51,18
of:0000000000000021,2024-10-02 16:57:51,18
of:0000000000000022,2024-10-02 16:57:51,18
of:0000000000000023,2024-10-02 16:57:51,18
of:0000000000000024,2024-10-02 16:57:51,18
of:0000000000000025,2024-10-02 16:57:51,18
of:0000000000000026,2024-10-02 16:57:51,18
of:0000000000000027,2024-10-02 16:57:51,18
of:0000000000000028,2024-10-02 16:57:51,18
of:0000000000000001,2024-10-02 16:58:01,25.008182105263145
of:0000000000000002,2024-10-02 16:58:01,25.67331368421052
of:0000000000000003,2024-10-02 16:58:01,25.37509894736842
