id,type,available,role,mfr,hw,sw,serial,driver,chassisId,lastUpdate,humanReadableLastUpdate,annotations
of:000000000000000c,SWITCH,True,MASTER,"Nicira, Inc.",Open vSwitch,2.17.9,None,ovs,c,1720017409370,connected 11d21h ago,"{'channelId': '192.168.0.5:48934', 'managementAddress': '192.168.0.5', 'protocol': 'OF_14'}"
of:000000000000000d,SWITCH,True,MASTER,"Nicira, Inc.",Open vSwitch,2.17.9,None,ovs,d,1720017409369,connected 11d21h ago,"{'channelId': '192.168.0.5:48862', 'managementAddress': '192.168.0.5', 'protocol': 'OF_14'}"
of:000000000000000a,SWITCH,True,MASTER,"Nicira, Inc.",Open vSwitch,2.17.9,None,ovs,a,1720017409254,connected 11d21h ago,"{'channelId': '192.168.0.5:48818', 'managementAddress': '192.168.0.5', 'protocol': 'OF_14'}"
of:000000000000000b,SWITCH,True,MASTER,"Nicira, Inc.",Open vSwitch,2.17.9,None,ovs,b,1720017409457,connected 11d21h ago,"{'channelId': '192.168.0.5:49004', 'managementAddress': '192.168.0.5', 'protocol': 'OF_14'}"
of:000000000000000e,SWITCH,True,MASTER,"Nicira, Inc.",Open vSwitch,2.17.9,None,ovs,e,1720017409313,connected 11d21h ago,"{'channelId': '192.168.0.5:48822', 'managementAddress': '192.168.0.5', 'protocol': 'OF_14'}"
of:000000000000000f,SWITCH,True,MASTER,"Nicira, Inc.",Open vSwitch,2.17.9,None,ovs,f,1720017409309,connected 11d21h ago,"{'channelId': '192.168.0.5:48848', 'managementAddress': '192.168.0.5', 'protocol': 'OF_14'}"
of:0000000000000010,SWITCH,True,MASTER,"Nicira, Inc.",Open vSwitch,2.17.9,None,ovs,10,1720017410058,connected 11d21h ago,"{'channelId': '192.168.0.5:49160', 'managementAddress': '192.168.0.5', 'protocol': 'OF_14'}"
of:0000000000000011,SWITCH,True,MASTER,"Nicira, Inc.",Open vSwitch,2.17.9,None,ovs,11,1720017409706,connected 11d21h ago,"{'channelId': '192.168.0.5:49140', 'managementAddress': '192.168.0.5', 'protocol': 'OF_14'}"
of:0000000000000014,SWITCH,True,MASTER,"Nicira, Inc.",Open vSwitch,2.17.9,None,ovs,14,1720017409553,connected 11d21h ago,"{'channelId': '192.168.0.5:49112', 'managementAddress': '192.168.0.5', 'protocol': 'OF_14'}"
of:0000000000000015,SWITCH,True,MASTER,"Nicira, Inc.",Open vSwitch,2.17.9,None,ovs,15,1720017409256,connected 11d21h ago,"{'channelId': '192.168.0.5:48796', 'managementAddress': '192.168.0.5', 'protocol': 'OF_14'}"
of:0000000000000012,SWITCH,True,MASTER,"Nicira, Inc.",Open vSwitch,2.17.9,None,ovs,12,1720017409498,connected 11d21h ago,"{'channelId': '192.168.0.5:48962', 'managementAddress': '192.168.0.5', 'protocol': 'OF_14'}"
of:0000000000000013,SWITCH,True,MASTER,"Nicira, Inc.",Open vSwitch,2.17.9,None,ovs,13,1720017409555,connected 11d21h ago,"{'channelId': '192.168.0.5:49040', 'managementAddress': '192.168.0.5', 'protocol': 'OF_14'}"
