id,mac,vlan,innerVlan,outerTpid,configured,ipAddresses,locations
C6:04:DD:E3:5A:78/None,C6:04:DD:E3:5A:78,None,None,unknown,False,['10.0.1.65'],"[{'elementId': 'of:0000000000000024', 'port': '2'}]"
4E:94:B0:9C:B2:4A/None,4E:94:B0:9C:B2:4A,None,None,unknown,False,['10.0.1.11'],"[{'elementId': 'of:000000000000000a', 'port': '2'}]"
56:E0:0E:FF:A8:BA/None,56:E0:0E:FF:A8:BA,None,None,unknown,False,['10.0.1.50'],"[{'elementId': 'of:0000000000000015', 'port': '2'}]"
D6:21:CF:F0:6E:0C/None,D6:21:CF:F0:6E:0C,None,None,unknown,False,['10.0.1.77'],"[{'elementId': 'of:000000000000001c', 'port': '3'}]"
46:79:A7:F9:A3:F7/None,46:79:A7:F9:A3:F7,None,None,unknown,False,['10.0.1.21'],"[{'elementId': 'of:000000000000000f', 'port': '2'}]"
C2:60:40:03:9F:8A/None,C2:60:40:03:9F:8A,None,None,unknown,False,['10.0.1.66'],"[{'elementId': 'of:0000000000000025', 'port': '2'}]"
6E:DA:5A:12:17:DE/None,6E:DA:5A:12:17:DE,None,None,unknown,False,['10.0.1.53'],"[{'elementId': 'of:0000000000000018', 'port': '2'}]"
7E:AB:E9:E0:B8:05/None,7E:AB:E9:E0:B8:05,None,None,unknown,False,['10.0.1.68'],"[{'elementId': 'of:0000000000000027', 'port': '2'}]"
F2:D5:67:C2:03:ED/None,F2:D5:67:C2:03:ED,None,None,unknown,False,['10.0.1.76'],"[{'elementId': 'of:000000000000001b', 'port': '3'}]"
86:D2:30:F0:AC:53/None,86:D2:30:F0:AC:53,None,None,unknown,False,['10.0.1.80'],"[{'elementId': 'of:000000000000001f', 'port': '3'}]"
D2:26:1F:37:09:A9/None,D2:26:1F:37:09:A9,None,None,unknown,False,['10.0.1.41'],"[{'elementId': 'of:000000000000000b', 'port': '3'}]"
DE:12:94:6B:FE:08/None,DE:12:94:6B:FE:08,None,None,unknown,False,['10.0.1.24'],"[{'elementId': 'of:0000000000000012', 'port': '2'}]"
C2:68:1B:AF:DD:94/None,C2:68:1B:AF:DD:94,None,None,unknown,False,['10.0.1.58'],"[{'elementId': 'of:000000000000001d', 'port': '2'}]"
F2:DE:97:D9:4A:FB/None,F2:DE:97:D9:4A:FB,None,None,unknown,False,['10.0.1.31'],"[{'elementId': 'of:0000000000000014', 'port': '2'}]"
76:F4:1F:92:A7:C7/None,76:F4:1F:92:A7:C7,None,None,unknown,False,['10.0.1.83'],"[{'elementId': 'of:0000000000000022', 'port': '3'}]"
72:BF:6A:7E:B7:16/None,72:BF:6A:7E:B7:16,None,None,unknown,False,['10.0.1.51'],"[{'elementId': 'of:0000000000000016', 'port': '2'}]"
CE:A9:D5:88:5D:5B/None,CE:A9:D5:88:5D:5B,None,None,unknown,False,['10.0.1.22'],"[{'elementId': 'of:0000000000000010', 'port': '2'}]"
BE:8A:99:36:27:85/None,BE:8A:99:36:27:85,None,None,unknown,False,['10.0.1.61'],"[{'elementId': 'of:0000000000000020', 'port': '2'}]"
46:AD:7A:43:01:DA/None,46:AD:7A:43:01:DA,None,None,unknown,False,['10.0.1.43'],"[{'elementId': 'of:0000000000000011', 'port': '3'}]"
96:09:AE:88:E0:48/None,96:09:AE:88:E0:48,None,None,unknown,False,['10.0.1.79'],"[{'elementId': 'of:000000000000001e', 'port': '3'}]"
8A:03:2F:AC:82:94/None,8A:03:2F:AC:82:94,None,None,unknown,False,['10.0.1.70'],"[{'elementId': 'of:0000000000000015', 'port': '3'}]"
06:4B:29:FD:02:CB/None,06:4B:29:FD:02:CB,None,None,unknown,False,['10.0.1.82'],"[{'elementId': 'of:0000000000000021', 'port': '3'}]"
76:0D:5F:32:84:45/None,76:0D:5F:32:84:45,None,None,unknown,False,['10.0.1.54'],"[{'elementId': 'of:0000000000000019', 'port': '2'}]"
76:EF:F3:C4:4A:4C/None,76:EF:F3:C4:4A:4C,None,None,unknown,False,['10.0.1.57'],"[{'elementId': 'of:000000000000001c', 'port': '2'}]"
D2:71:01:93:7E:4F/None,D2:71:01:93:7E:4F,None,None,unknown,False,['10.0.1.88'],"[{'elementId': 'of:0000000000000027', 'port': '3'}]"
3E:E4:32:D8:92:1D/None,3E:E4:32:D8:92:1D,None,None,unknown,False,['10.0.1.55'],"[{'elementId': 'of:000000000000001a', 'port': '2'}]"
D2:CE:A0:26:A9:A6/None,D2:CE:A0:26:A9:A6,None,None,unknown,False,['10.0.1.30'],"[{'elementId': 'of:0000000000000013', 'port': '2'}]"
3E:87:C3:2D:C4:01/None,3E:87:C3:2D:C4:01,None,None,unknown,False,['10.0.1.52'],"[{'elementId': 'of:0000000000000017', 'port': '2'}]"
9E:5F:10:59:C1:E8/None,9E:5F:10:59:C1:E8,None,None,unknown,False,['10.0.1.13'],"[{'elementId': 'of:000000000000000c', 'port': '2'}]"
