device,port,packetsReceived,packetsSent,bytesReceived,bytesSent,packetsRxDropped,packetsTxDropped,packetsRxErrors,packetsTxErrors,durationSec
of:000000000000000c,1,44037105455,44077168195,951255977504393,1003374466209103,0,0,0,0,1026701
of:000000000000000c,2,22832835418,22392297885,1001972298626488,1477941473943,0,0,0,0,1026701
of:000000000000000c,3,21243669392,21645478337,1402081566384,949778132635231,0,0,0,0,1026701
of:000000000000000d,1,43864398526,43800759213,998373385300695,944519613049927,0,0,0,0,1026701
of:000000000000000d,2,21501448824,21141658823,943047815465268,1395399364295,0,0,0,0,1026701
of:000000000000000d,3,22298647423,22723410280,1471710172838,996978082165797,0,0,0,0,1026701
of:000000000000000a,1,71065183431,71552734245,1061417085063179,2109359477609627,0,0,0,0,1026701
of:000000000000000a,2,48007700797,46968175235,2107805489221402,3099951386091,0,0,0,0,1026701
of:000000000000000a,3,23544370334,24097680062,1553927828068,1058317232844769,0,0,0,0,1026701
of:000000000000000b,1,45793174980,45494499208,1127668000410669,903315067785825,0,0,0,0,1026701
of:000000000000000b,2,20545717151,20166012514,901668404302154,1331009125833,0,0,0,0,1026701
of:000000000000000b,3,24948118536,25627834948,1646575177868,1126337090152601,0,0,0,0,1026701
of:000000000000000e,1,670897,663536,94742693,92824093,0,0,0,0,1026701
of:000000000000000e,2,847,670899,57118,95405355,0,0,0,0,1026701
of:000000000000000f,1,42877796391,42949841927,903142258365853,1001353380915379,0,0,0,0,1026701
of:000000000000000f,2,844,670252,57020,94080125,0,0,0,0,1026701
of:000000000000000f,3,42949177561,42877795925,1001353291108878,903142258996919,0,0,0,0,1026701
of:0000000000000010,1,670283,663555,93419065,92824723,0,0,0,0,1026701
of:0000000000000010,2,867,670282,57958,94081377,0,0,0,0,1026701
of:0000000000000011,1,670792,664123,93453211,92861347,0,0,0,0,1026701
of:0000000000000011,2,848,670264,57160,94080649,0,0,0,0,1026701
of:0000000000000011,3,902,670317,59484,94082903,0,0,0,0,1026701
of:0000000000000014,1,20515025800,20169798816,899873710087333,1331255124901,0,0,0,0,1026701
of:0000000000000014,2,20169136128,20515025796,1331162358132,899873710749297,0,0,0,0,1026701
of:0000000000000015,1,44195660279,44044923236,1057116524176325,900003460733298,0,0,0,0,1026701
of:0000000000000015,2,20482834165,20140126787,898448319776002,1329297063529,0,0,0,0,1026701
of:0000000000000015,3,23561424408,24056200385,1555053383156,1055787321390341,0,0,0,0,1026701
of:0000000000000012,1,670451,663557,93431171,92825031,0,0,0,0,1026701
of:0000000000000012,2,868,670452,58056,94093625,0,0,0,0,1026701
of:0000000000000013,1,20483517428,20140132616,898448792061585,1329297168773,0,0,0,0,1026701
of:0000000000000013,2,20139469345,20483516900,1329204364810,898448792688829,0,0,0,0,1026701
of:0000000000000013,3,903,670541,59554,94098795,0,0,0,0,1026701
of:0000000000000018,1,47489168816,47531429859,1054831088775759,1057997577524559,0,0,0,0,1026701
of:0000000000000018,2,24053341342,23497321389,1056447987551444,1550873452115,0,0,0,0,1026701
of:0000000000000018,3,23477424220,23992514598,1549509380440,1053280312210537,0,0,0,0,1026701
of:0000000000000019,1,22299319432,22723407314,1471804005399,996978400123245,0,0,0,0,1026701
of:0000000000000019,2,22722741208,22299318895,996978313344372,1471804632491,0,0,0,0,1026701
of:0000000000000019,3,914,669845,59988,99374415,0,0,0,0,1026701
of:0000000000000016,1,44342191570,44057256568,1063829221772203,901427328597361,0,0,0,0,1026701
of:0000000000000016,2,20514348520,20169797991,899873451430196,1331256817191,0,0,0,0,1026701
of:0000000000000016,3,23542242161,24173060340,1553787316138,1062498061272185,0,0,0,0,1026701
of:0000000000000017,1,47560909130,47587772927,1056079688299227,1059867958496295,0,0,0,0,1026701
of:0000000000000017,2,24097018796,23545044838,1058317527372984,1554023221541,0,0,0,0,1026701
of:0000000000000017,3,23490091017,24016531063,1550345401698,1054525761293263,0,0,0,0,1026701
of:000000000000001a,1,670166,664136,93411615,92861921,0,0,0,0,1026701
of:000000000000001a,2,850,669629,57244,94038703,0,0,0,0,1026701
of:000000000000001a,3,913,669690,59918,94041237,0,0,0,0,1026701
of:000000000000001d,1,670150,664119,93410943,92861179,0,0,0,0,1026701
of:000000000000001d,2,861,669640,57678,94039137,0,0,0,0,1026701
of:000000000000001d,3,885,669662,58742,94040061,0,0,0,0,1026701
of:000000000000001e,1,670177,664145,93412077,92862243,0,0,0,0,1026701
of:000000000000001e,2,878,669656,58420,94039809,0,0,0,0,1026701
of:000000000000001e,3,898,669675,59288,94040607,0,0,0,0,1026701
of:000000000000001b,1,670199,664170,93413001,92863517,0,0,0,0,1026701
of:000000000000001b,2,882,669662,58588,94040257,0,0,0,0,1026701
of:000000000000001b,3,914,669693,59904,94041503,0,0,0,0,1026701
of:000000000000001c,1,670180,664151,93412203,92862719,0,0,0,0,1026701
of:000000000000001c,2,873,669652,58266,94039865,0,0,0,0,1026701
of:000000000000001c,3,908,669687,59708,94041307,0,0,0,0,1026701
of:000000000000001f,1,22833507422,22392290247,1001972319477857,1477939544455,0,0,0,0,1026701
of:000000000000001f,2,877,670359,58406,94086703,0,0,0,0,1026701
of:000000000000001f,3,22391627002,22833506922,1477846741440,1001972320171629,0,0,0,0,1026701
of:0000000000000021,1,670748,664105,93450837,92860535,0,0,0,0,1026701
of:0000000000000021,2,872,670259,58168,94079747,0,0,0,0,1026701
of:0000000000000021,3,862,670248,57748,94079257,0,0,0,0,1026701
of:0000000000000022,1,670761,664121,93451383,92861431,0,0,0,0,1026701
of:0000000000000022,2,876,670265,58336,94080195,0,0,0,0,1026701
of:0000000000000022,3,874,670261,58280,94079999,0,0,0,0,1026701
of:0000000000000020,1,670740,664099,93450501,92860339,0,0,0,0,1026701
of:0000000000000020,2,860,670244,57692,94079061,0,0,0,0,1026701
of:0000000000000020,3,866,670252,57944,94079453,0,0,0,0,1026701
of:0000000000000003,1,105877889866,104007236446,4645011104757699,6864522833429,0,0,0,0,1026701
of:0000000000000003,2,83781673734,85283169272,5529636301125,3741392729116721,0,0,0,0,1026701
of:0000000000000003,3,42949849495,42877803789,1001353517524085,903142383898951,0,0,0,0,1026701
of:0000000000000003,4,22392295416,22833512926,1477939885609,1001972564683617,0,0,0,0,1026701
of:0000000000000003,5,664099,670740,92860339,93450501,0,0,0,0,1026701
of:0000000000000003,6,664105,670748,92860535,93450837,0,0,0,0,1026701
of:0000000000000003,7,664121,670761,92861431,93451383,0,0,0,0,1026701
of:0000000000000003,8,664112,670754,92861053,93451145,0,0,0,0,1026701
of:0000000000000025,1,670852,664110,93458261,92861025,0,0,0,0,1026701
of:0000000000000025,2,875,670363,58322,94087115,0,0,0,0,1026701
of:0000000000000025,3,861,670351,57734,94086667,0,0,0,0,1026701
of:0000000000000026,1,22784513167,22332075540,1000022574960011,1473965366797,0,0,0,0,1026701
of:0000000000000026,2,900,670392,59344,94088557,0,0,0,0,1026701
of:0000000000000026,3,22331412269,22784512644,1473872562634,1000022575652845,0,0,0,0,1026701
of:0000000000000004,1,85283186347,83781690275,3741393476305495,5529637392831,0,0,0,0,1026701
of:0000000000000004,2,40309271256,40997876318,2660459028569,1798322522919121,0,0,0,0,1026701
of:0000000000000004,3,21141663285,21502130751,1395398170571,943048380858795,0,0,0,0,1026701
of:0000000000000004,4,664110,670852,92861025,93458261,0,0,0,0,1026701
of:0000000000000004,5,22332079753,22784517380,1473965644855,1000022759328317,0,0,0,0,1026701
of:0000000000000004,6,664138,670883,92861977,93459563,0,0,0,0,1026701
of:0000000000000004,7,664116,670860,92861193,93458569,0,0,0,0,1026701
of:0000000000000023,1,670754,664112,93451145,92861053,0,0,0,0,1026701
of:0000000000000023,2,866,670253,57944,94079663,0,0,0,0,1026701
of:0000000000000023,3,874,670262,58280,94080069,0,0,0,0,1026701
of:0000000000000001,1,104016960112,105911171070,6865164690343,4646748291157894,0,0,0,0,1026701
of:0000000000000001,2,185467909669,183631266520,6080644236537411,2123707668757275,0,0,0,0,1026701
of:0000000000000001,3,44044945304,44195683435,900003994014050,1057117037671853,0,0,0,0,1026701
of:0000000000000001,4,44057272681,44342207941,901427655178507,1063829616003529,0,0,0,0,1026701
of:0000000000000001,5,47587776069,47560912272,1059868027647539,1056079756860271,0,0,0,0,1026701
of:0000000000000001,6,47531444613,47489183570,1057997907751939,1054831405043595,0,0,0,0,1026701
of:0000000000000001,7,22723412535,22299324653,996978628598271,1471804349985,0,0,0,0,1026701
of:0000000000000024,1,21502124391,21141656934,943048102501235,1395397751405,0,0,0,0,1026701
of:0000000000000024,2,892,670386,59008,94088253,0,0,0,0,1026701
of:0000000000000024,3,21140993670,21502123872,1395304947708,943048103128885,0,0,0,0,1026701
of:0000000000000002,1,105911195783,104016983679,4646749384750992,6865166245741,0,0,0,0,1026701
of:0000000000000002,2,104007293348,105877948298,6864526588961,4645013670482363,0,0,0,0,1026701
